Year,Disease,Number of reported cases,"Rate per 100,000"
1968,"Syphilis, Congenital",,
1969,"Syphilis, Congenital",,
1970,"Syphilis, Congenital",,
1971,"Syphilis, Congenital",,
1972,"Syphilis, Congenital",,
1973,"Syphilis, Congenital",,
1974,"Syphilis, Congenital",,
1975,"Syphilis, Congenital",,
1976,"Syphilis, Congenital",,
1977,"Syphilis, Congenital",,
1978,"Syphilis, Congenital",,
1979,"Syphilis, Congenital",,
1980,"Syphilis, Congenital",,
1981,"Syphilis, Congenital",,
1982,"Syphilis, Congenital",,
1983,"Syphilis, Congenital",,
1984,"Syphilis, Congenital",,
1985,"Syphilis, Congenital",,
1986,"Syphilis, Congenital",,
1987,"Syphilis, Congenital",,
1988,"Syphilis, Congenital",,
1989,"Syphilis, Congenital",,
1990,"Syphilis, Congenital",,
1991,"Syphilis, Congenital",,
1992,"Syphilis, Congenital",,
1993,"Syphilis, Congenital",1,0.26
1994,"Syphilis, Congenital",4,1.04
1995,"Syphilis, Congenital",2,0.53
1996,"Syphilis, Congenital",1,0.27
1997,"Syphilis, Congenital",3,0.86
1998,"Syphilis, Congenital",1,0.29
1999,"Syphilis, Congenital",1,0.3
2000,"Syphilis, Congenital",2,0.61
2001,"Syphilis, Congenital",1,0.3
2002,"Syphilis, Congenital",4,1.22
2003,"Syphilis, Congenital",2,0.6
2004,"Syphilis, Congenital",1,0.3
2005,"Syphilis, Congenital",9,2.63
2006,"Syphilis, Congenital",6,1.69
2007,"Syphilis, Congenital",7,1.9
2008,"Syphilis, Congenital",5,1.32
2009,"Syphilis, Congenital",10,2.63
2010,"Syphilis, Congenital",5,1.33
2011,"Syphilis, Congenital",5,1.32
2012,"Syphilis, Congenital",3,0.79
2013,"Syphilis, Congenital",1,0.26
2014,"Syphilis, Congenital",1,0.26
2015,"Syphilis, Congenital",5,1.31
2016,"Syphilis, Congenital",4,1.04
2017,"Syphilis, Congenital",8,2.12
2018,"Syphilis, Congenital",16,4.27
2019,"Syphilis, Congenital",49,13.13
2020,"Syphilis, Congenital",55,15.24
2021,"Syphilis, Congenital",104,28.13
1924,Cryptosporidiosis,,
1925,Cryptosporidiosis,,
1926,Cryptosporidiosis,,
1927,Cryptosporidiosis,,
1928,Cryptosporidiosis,,
1929,Cryptosporidiosis,,
1930,Cryptosporidiosis,,
1931,Cryptosporidiosis,,
1932,Cryptosporidiosis,,
1933,Cryptosporidiosis,,
1934,Cryptosporidiosis,,
1935,Cryptosporidiosis,,
1936,Cryptosporidiosis,,
1937,Cryptosporidiosis,,
1938,Cryptosporidiosis,,
1939,Cryptosporidiosis,,
1940,Cryptosporidiosis,,
1941,Cryptosporidiosis,,
1942,Cryptosporidiosis,,
1943,Cryptosporidiosis,,
1944,Cryptosporidiosis,,
1945,Cryptosporidiosis,,
1946,Cryptosporidiosis,,
1947,Cryptosporidiosis,,
1948,Cryptosporidiosis,,
1949,Cryptosporidiosis,,
1950,Cryptosporidiosis,,
1951,Cryptosporidiosis,,
1952,Cryptosporidiosis,,
1953,Cryptosporidiosis,,
1954,Cryptosporidiosis,,
1955,Cryptosporidiosis,,
1956,Cryptosporidiosis,,
1957,Cryptosporidiosis,,
1958,Cryptosporidiosis,,
1959,Cryptosporidiosis,,
1960,Cryptosporidiosis,,
1961,Cryptosporidiosis,,
1962,Cryptosporidiosis,,
1963,Cryptosporidiosis,,
1964,Cryptosporidiosis,,
1965,Cryptosporidiosis,,
1966,Cryptosporidiosis,,
1967,Cryptosporidiosis,,
1968,Cryptosporidiosis,,
1969,Cryptosporidiosis,,
1970,Cryptosporidiosis,,
1971,Cryptosporidiosis,,
1972,Cryptosporidiosis,,
1973,Cryptosporidiosis,,
1974,Cryptosporidiosis,,
1975,Cryptosporidiosis,,
1976,Cryptosporidiosis,,
1977,Cryptosporidiosis,,
1978,Cryptosporidiosis,,
1979,Cryptosporidiosis,,
1980,Cryptosporidiosis,,
1981,Cryptosporidiosis,,
1982,Cryptosporidiosis,,
1983,Cryptosporidiosis,,
1984,Cryptosporidiosis,,
1985,Cryptosporidiosis,,
1986,Cryptosporidiosis,,
1987,Cryptosporidiosis,,
1988,Cryptosporidiosis,,
1989,Cryptosporidiosis,,
1990,Cryptosporidiosis,,
1991,Cryptosporidiosis,,
1992,Cryptosporidiosis,,
1993,Cryptosporidiosis,,
1994,Cryptosporidiosis,,
1995,Cryptosporidiosis,,
1996,Cryptosporidiosis,,
1997,Cryptosporidiosis,,
1998,Cryptosporidiosis,,
1999,Cryptosporidiosis,,
2000,Cryptosporidiosis,624,2.67
2001,Cryptosporidiosis,1763,7.46
2002,Cryptosporidiosis,588,2.46
2003,Cryptosporidiosis,650,2.69
2004,Cryptosporidiosis,596,1.87
2005,Cryptosporidiosis,608,1.89
2006,Cryptosporidiosis,789,2.42
2007,Cryptosporidiosis,875,2.66
2008,Cryptosporidiosis,802,2.41
2009,Cryptosporidiosis,620,1.84
2010,Cryptosporidiosis,642,1.89
2011,Cryptosporidiosis,586,1.71
2012,Cryptosporidiosis,748,2.15
2013,Cryptosporidiosis,833,2.37
2014,Cryptosporidiosis,887,2.5
2015,Cryptosporidiosis,873,2.45
2016,Cryptosporidiosis,969,2.68
2017,Cryptosporidiosis,797,2.18
2018,Cryptosporidiosis,1314,3.55
2019,Cryptosporidiosis,1521,4.05
2020,Cryptosporidiosis,932,2.45
2021,Cryptosporidiosis,963,2.52
1924,Acute Flaccid Paralysis,,
1925,Acute Flaccid Paralysis,,
1926,Acute Flaccid Paralysis,,
1927,Acute Flaccid Paralysis,,
1928,Acute Flaccid Paralysis,,
1929,Acute Flaccid Paralysis,,
1930,Acute Flaccid Paralysis,,
1931,Acute Flaccid Paralysis,,
1932,Acute Flaccid Paralysis,,
1933,Acute Flaccid Paralysis,,
1934,Acute Flaccid Paralysis,,
1935,Acute Flaccid Paralysis,,
1936,Acute Flaccid Paralysis,,
1937,Acute Flaccid Paralysis,,
1938,Acute Flaccid Paralysis,,
1939,Acute Flaccid Paralysis,,
1940,Acute Flaccid Paralysis,,
1941,Acute Flaccid Paralysis,,
1942,Acute Flaccid Paralysis,,
1943,Acute Flaccid Paralysis,,
1944,Acute Flaccid Paralysis,,
1945,Acute Flaccid Paralysis,,
1946,Acute Flaccid Paralysis,,
1947,Acute Flaccid Paralysis,,
1948,Acute Flaccid Paralysis,,
1949,Acute Flaccid Paralysis,,
1950,Acute Flaccid Paralysis,,
1951,Acute Flaccid Paralysis,,
1952,Acute Flaccid Paralysis,,
1953,Acute Flaccid Paralysis,,
1954,Acute Flaccid Paralysis,,
1955,Acute Flaccid Paralysis,,
1956,Acute Flaccid Paralysis,,
1957,Acute Flaccid Paralysis,,
1958,Acute Flaccid Paralysis,,
1959,Acute Flaccid Paralysis,,
1960,Acute Flaccid Paralysis,,
1961,Acute Flaccid Paralysis,,
1962,Acute Flaccid Paralysis,,
1963,Acute Flaccid Paralysis,,
1964,Acute Flaccid Paralysis,,
1965,Acute Flaccid Paralysis,,
1966,Acute Flaccid Paralysis,,
1967,Acute Flaccid Paralysis,,
1968,Acute Flaccid Paralysis,,
1969,Acute Flaccid Paralysis,,
1970,Acute Flaccid Paralysis,,
1971,Acute Flaccid Paralysis,,
1972,Acute Flaccid Paralysis,,
1973,Acute Flaccid Paralysis,,
1974,Acute Flaccid Paralysis,,
1975,Acute Flaccid Paralysis,,
1976,Acute Flaccid Paralysis,,
1977,Acute Flaccid Paralysis,,
1978,Acute Flaccid Paralysis,,
1979,Acute Flaccid Paralysis,,
1980,Acute Flaccid Paralysis,,
1981,Acute Flaccid Paralysis,,
1982,Acute Flaccid Paralysis,,
1983,Acute Flaccid Paralysis,,
1984,Acute Flaccid Paralysis,,
1985,Acute Flaccid Paralysis,,
1986,Acute Flaccid Paralysis,,
1987,Acute Flaccid Paralysis,,
1988,Acute Flaccid Paralysis,,
1989,Acute Flaccid Paralysis,,
1990,Acute Flaccid Paralysis,,
1991,Acute Flaccid Paralysis,,
1992,Acute Flaccid Paralysis,,
1993,Acute Flaccid Paralysis,,
1994,Acute Flaccid Paralysis,,
1995,Acute Flaccid Paralysis,,
1996,Acute Flaccid Paralysis,,
1997,Acute Flaccid Paralysis,,
1998,Acute Flaccid Paralysis,,
1999,Acute Flaccid Paralysis,,
2000,Acute Flaccid Paralysis,64,1.09
2001,Acute Flaccid Paralysis,52,0.89
2002,Acute Flaccid Paralysis,44,0.76
2003,Acute Flaccid Paralysis,44,0.76
2004,Acute Flaccid Paralysis,38,0.66
2005,Acute Flaccid Paralysis,53,0.93
2006,Acute Flaccid Paralysis,39,0.69
2007,Acute Flaccid Paralysis,50,0.89
2008,Acute Flaccid Paralysis,42,0.75
2009,Acute Flaccid Paralysis,59,1.05
2010,Acute Flaccid Paralysis,47,0.84
2011,Acute Flaccid Paralysis,44,0.78
2012,Acute Flaccid Paralysis,33,0.58
2013,Acute Flaccid Paralysis,36,0.63
2014,Acute Flaccid Paralysis,51,0.89
2015,Acute Flaccid Paralysis,27,0.47
2016,Acute Flaccid Paralysis,51,0.87
2017,Acute Flaccid Paralysis,33,0.56
2018,Acute Flaccid Paralysis,73,1.22
2019,Acute Flaccid Paralysis,36,0.6
2020,Acute Flaccid Paralysis,30,0.5
2021,Acute Flaccid Paralysis,9,0.15
1924,Creutzfeldt-Jakob Disease,,
1925,Creutzfeldt-Jakob Disease,,
1926,Creutzfeldt-Jakob Disease,,
1927,Creutzfeldt-Jakob Disease,,
1928,Creutzfeldt-Jakob Disease,,
1929,Creutzfeldt-Jakob Disease,,
1930,Creutzfeldt-Jakob Disease,,
1931,Creutzfeldt-Jakob Disease,,
1932,Creutzfeldt-Jakob Disease,,
1933,Creutzfeldt-Jakob Disease,,
1934,Creutzfeldt-Jakob Disease,,
1935,Creutzfeldt-Jakob Disease,,
1936,Creutzfeldt-Jakob Disease,,
1937,Creutzfeldt-Jakob Disease,,
1938,Creutzfeldt-Jakob Disease,,
1939,Creutzfeldt-Jakob Disease,,
1940,Creutzfeldt-Jakob Disease,,
1941,Creutzfeldt-Jakob Disease,,
1942,Creutzfeldt-Jakob Disease,,
1943,Creutzfeldt-Jakob Disease,,
1944,Creutzfeldt-Jakob Disease,,
1945,Creutzfeldt-Jakob Disease,,
1946,Creutzfeldt-Jakob Disease,,
1947,Creutzfeldt-Jakob Disease,,
1948,Creutzfeldt-Jakob Disease,,
1949,Creutzfeldt-Jakob Disease,,
1950,Creutzfeldt-Jakob Disease,,
1951,Creutzfeldt-Jakob Disease,,
1952,Creutzfeldt-Jakob Disease,,
1953,Creutzfeldt-Jakob Disease,,
1954,Creutzfeldt-Jakob Disease,,
1955,Creutzfeldt-Jakob Disease,,
1956,Creutzfeldt-Jakob Disease,,
1957,Creutzfeldt-Jakob Disease,,
1958,Creutzfeldt-Jakob Disease,,
1959,Creutzfeldt-Jakob Disease,,
1960,Creutzfeldt-Jakob Disease,,
1961,Creutzfeldt-Jakob Disease,,
1962,Creutzfeldt-Jakob Disease,,
1963,Creutzfeldt-Jakob Disease,,
1964,Creutzfeldt-Jakob Disease,,
1965,Creutzfeldt-Jakob Disease,,
1966,Creutzfeldt-Jakob Disease,,
1967,Creutzfeldt-Jakob Disease,,
1968,Creutzfeldt-Jakob Disease,,
1969,Creutzfeldt-Jakob Disease,,
1970,Creutzfeldt-Jakob Disease,,
1971,Creutzfeldt-Jakob Disease,,
1972,Creutzfeldt-Jakob Disease,,
1973,Creutzfeldt-Jakob Disease,,
1974,Creutzfeldt-Jakob Disease,,
1975,Creutzfeldt-Jakob Disease,,
1976,Creutzfeldt-Jakob Disease,,
1977,Creutzfeldt-Jakob Disease,,
1978,Creutzfeldt-Jakob Disease,,
1979,Creutzfeldt-Jakob Disease,,
1980,Creutzfeldt-Jakob Disease,,
1981,Creutzfeldt-Jakob Disease,,
1982,Creutzfeldt-Jakob Disease,,
1983,Creutzfeldt-Jakob Disease,,
1984,Creutzfeldt-Jakob Disease,,
1985,Creutzfeldt-Jakob Disease,,
1986,Creutzfeldt-Jakob Disease,,
1987,Creutzfeldt-Jakob Disease,,
1988,Creutzfeldt-Jakob Disease,,
1989,Creutzfeldt-Jakob Disease,,
1990,Creutzfeldt-Jakob Disease,,
1991,Creutzfeldt-Jakob Disease,,
1992,Creutzfeldt-Jakob Disease,,
1993,Creutzfeldt-Jakob Disease,,
1994,Creutzfeldt-Jakob Disease,,
1995,Creutzfeldt-Jakob Disease,,
1996,Creutzfeldt-Jakob Disease,,
1997,Creutzfeldt-Jakob Disease,,
1998,Creutzfeldt-Jakob Disease,,
1999,Creutzfeldt-Jakob Disease,,
2000,Creutzfeldt-Jakob Disease,35,0.11
2001,Creutzfeldt-Jakob Disease,30,0.1
2002,Creutzfeldt-Jakob Disease,36,0.11
2003,Creutzfeldt-Jakob Disease,29,0.09
2004,Creutzfeldt-Jakob Disease,44,0.14
2005,Creutzfeldt-Jakob Disease,44,0.14
2006,Creutzfeldt-Jakob Disease,44,0.14
2007,Creutzfeldt-Jakob Disease,39,0.12
2008,Creutzfeldt-Jakob Disease,49,0.15
2009,Creutzfeldt-Jakob Disease,53,0.16
2010,Creutzfeldt-Jakob Disease,38,0.11
2011,Creutzfeldt-Jakob Disease,51,0.15
2012,Creutzfeldt-Jakob Disease,63,0.18
2013,Creutzfeldt-Jakob Disease,51,0.15
2014,Creutzfeldt-Jakob Disease,56,0.16
2015,Creutzfeldt-Jakob Disease,52,0.15
2016,Creutzfeldt-Jakob Disease,64,0.18
2017,Creutzfeldt-Jakob Disease,87,0.24
2018,Creutzfeldt-Jakob Disease,81,0.22
2019,Creutzfeldt-Jakob Disease,79,0.21
2020,Creutzfeldt-Jakob Disease,69,0.18
2021,Creutzfeldt-Jakob Disease,63,0.16
1924,Cyclosporiasis,,
1925,Cyclosporiasis,,
1926,Cyclosporiasis,,
1927,Cyclosporiasis,,
1928,Cyclosporiasis,,
1929,Cyclosporiasis,,
1930,Cyclosporiasis,,
1931,Cyclosporiasis,,
1932,Cyclosporiasis,,
1933,Cyclosporiasis,,
1934,Cyclosporiasis,,
1935,Cyclosporiasis,,
1936,Cyclosporiasis,,
1937,Cyclosporiasis,,
1938,Cyclosporiasis,,
1939,Cyclosporiasis,,
1940,Cyclosporiasis,,
1941,Cyclosporiasis,,
1942,Cyclosporiasis,,
1943,Cyclosporiasis,,
1944,Cyclosporiasis,,
1945,Cyclosporiasis,,
1946,Cyclosporiasis,,
1947,Cyclosporiasis,,
1948,Cyclosporiasis,,
1949,Cyclosporiasis,,
1950,Cyclosporiasis,,
1951,Cyclosporiasis,,
1952,Cyclosporiasis,,
1953,Cyclosporiasis,,
1954,Cyclosporiasis,,
1955,Cyclosporiasis,,
1956,Cyclosporiasis,,
1957,Cyclosporiasis,,
1958,Cyclosporiasis,,
1959,Cyclosporiasis,,
1960,Cyclosporiasis,,
1961,Cyclosporiasis,,
1962,Cyclosporiasis,,
1963,Cyclosporiasis,,
1964,Cyclosporiasis,,
1965,Cyclosporiasis,,
1966,Cyclosporiasis,,
1967,Cyclosporiasis,,
1968,Cyclosporiasis,,
1969,Cyclosporiasis,,
1970,Cyclosporiasis,,
1971,Cyclosporiasis,,
1972,Cyclosporiasis,,
1973,Cyclosporiasis,,
1974,Cyclosporiasis,,
1975,Cyclosporiasis,,
1976,Cyclosporiasis,,
1977,Cyclosporiasis,,
1978,Cyclosporiasis,,
1979,Cyclosporiasis,,
1980,Cyclosporiasis,,
1981,Cyclosporiasis,,
1982,Cyclosporiasis,,
1983,Cyclosporiasis,,
1984,Cyclosporiasis,,
1985,Cyclosporiasis,,
1986,Cyclosporiasis,,
1987,Cyclosporiasis,,
1988,Cyclosporiasis,,
1989,Cyclosporiasis,,
1990,Cyclosporiasis,,
1991,Cyclosporiasis,,
1992,Cyclosporiasis,,
1993,Cyclosporiasis,,
1994,Cyclosporiasis,,
1995,Cyclosporiasis,,
1996,Cyclosporiasis,,
1997,Cyclosporiasis,,
1998,Cyclosporiasis,,
1999,Cyclosporiasis,,
2000,Cyclosporiasis,28,0.12
2001,Cyclosporiasis,71,0.31
2002,Cyclosporiasis,81,0.35
2003,Cyclosporiasis,78,0.34
2004,Cyclosporiasis,137,0.44
2005,Cyclosporiasis,208,0.66
2006,Cyclosporiasis,157,0.5
2007,Cyclosporiasis,175,0.55
2008,Cyclosporiasis,151,0.47
2009,Cyclosporiasis,222,0.68
2010,Cyclosporiasis,214,0.65
2011,Cyclosporiasis,141,0.42
2012,Cyclosporiasis,108,0.32
2013,Cyclosporiasis,148,0.43
2014,Cyclosporiasis,227,0.65
2015,Cyclosporiasis,333,0.93
2016,Cyclosporiasis,378,1.05
2017,Cyclosporiasis,374,1.02
2018,Cyclosporiasis,337,0.91
2019,Cyclosporiasis,497,1.32
2020,Cyclosporiasis,488,1.28
2021,Cyclosporiasis,121,0.32
1924,Hantavirus Pulmonary Syndrome,,
1925,Hantavirus Pulmonary Syndrome,,
1926,Hantavirus Pulmonary Syndrome,,
1927,Hantavirus Pulmonary Syndrome,,
1928,Hantavirus Pulmonary Syndrome,,
1929,Hantavirus Pulmonary Syndrome,,
1930,Hantavirus Pulmonary Syndrome,,
1931,Hantavirus Pulmonary Syndrome,,
1932,Hantavirus Pulmonary Syndrome,,
1933,Hantavirus Pulmonary Syndrome,,
1934,Hantavirus Pulmonary Syndrome,,
1935,Hantavirus Pulmonary Syndrome,,
1936,Hantavirus Pulmonary Syndrome,,
1937,Hantavirus Pulmonary Syndrome,,
1938,Hantavirus Pulmonary Syndrome,,
1939,Hantavirus Pulmonary Syndrome,,
1940,Hantavirus Pulmonary Syndrome,,
1941,Hantavirus Pulmonary Syndrome,,
1942,Hantavirus Pulmonary Syndrome,,
1943,Hantavirus Pulmonary Syndrome,,
1944,Hantavirus Pulmonary Syndrome,,
1945,Hantavirus Pulmonary Syndrome,,
1946,Hantavirus Pulmonary Syndrome,,
1947,Hantavirus Pulmonary Syndrome,,
1948,Hantavirus Pulmonary Syndrome,,
1949,Hantavirus Pulmonary Syndrome,,
1950,Hantavirus Pulmonary Syndrome,,
1951,Hantavirus Pulmonary Syndrome,,
1952,Hantavirus Pulmonary Syndrome,,
1953,Hantavirus Pulmonary Syndrome,,
1954,Hantavirus Pulmonary Syndrome,,
1955,Hantavirus Pulmonary Syndrome,,
1956,Hantavirus Pulmonary Syndrome,,
1957,Hantavirus Pulmonary Syndrome,,
1958,Hantavirus Pulmonary Syndrome,,
1959,Hantavirus Pulmonary Syndrome,,
1960,Hantavirus Pulmonary Syndrome,,
1961,Hantavirus Pulmonary Syndrome,,
1962,Hantavirus Pulmonary Syndrome,,
1963,Hantavirus Pulmonary Syndrome,,
1964,Hantavirus Pulmonary Syndrome,,
1965,Hantavirus Pulmonary Syndrome,,
1966,Hantavirus Pulmonary Syndrome,,
1967,Hantavirus Pulmonary Syndrome,,
1968,Hantavirus Pulmonary Syndrome,,
1969,Hantavirus Pulmonary Syndrome,,
1970,Hantavirus Pulmonary Syndrome,,
1971,Hantavirus Pulmonary Syndrome,,
1972,Hantavirus Pulmonary Syndrome,,
1973,Hantavirus Pulmonary Syndrome,,
1974,Hantavirus Pulmonary Syndrome,,
1975,Hantavirus Pulmonary Syndrome,,
1976,Hantavirus Pulmonary Syndrome,,
1977,Hantavirus Pulmonary Syndrome,,
1978,Hantavirus Pulmonary Syndrome,,
1979,Hantavirus Pulmonary Syndrome,,
1980,Hantavirus Pulmonary Syndrome,,
1981,Hantavirus Pulmonary Syndrome,,
1982,Hantavirus Pulmonary Syndrome,,
1983,Hantavirus Pulmonary Syndrome,,
1984,Hantavirus Pulmonary Syndrome,,
1985,Hantavirus Pulmonary Syndrome,,
1986,Hantavirus Pulmonary Syndrome,,
1987,Hantavirus Pulmonary Syndrome,,
1988,Hantavirus Pulmonary Syndrome,,
1989,Hantavirus Pulmonary Syndrome,,
1990,Hantavirus Pulmonary Syndrome,,
1991,Hantavirus Pulmonary Syndrome,,
1992,Hantavirus Pulmonary Syndrome,,
1993,Hantavirus Pulmonary Syndrome,,
1994,Hantavirus Pulmonary Syndrome,,
1995,Hantavirus Pulmonary Syndrome,,
1996,Hantavirus Pulmonary Syndrome,,
1997,Hantavirus Pulmonary Syndrome,,
1998,Hantavirus Pulmonary Syndrome,,
1999,Hantavirus Pulmonary Syndrome,,
2000,Hantavirus Pulmonary Syndrome,3,0.01
2001,Hantavirus Pulmonary Syndrome,3,0.01
2002,Hantavirus Pulmonary Syndrome,6,0.02
2003,Hantavirus Pulmonary Syndrome,2,0.01
2004,Hantavirus Pulmonary Syndrome,5,0.02
2005,Hantavirus Pulmonary Syndrome,8,0.03
2006,Hantavirus Pulmonary Syndrome,4,0.01
2007,Hantavirus Pulmonary Syndrome,5,0.02
2008,Hantavirus Pulmonary Syndrome,3,0.01
2009,Hantavirus Pulmonary Syndrome,0,0
2010,Hantavirus Pulmonary Syndrome,3,0.01
2011,Hantavirus Pulmonary Syndrome,5,0.01
2012,Hantavirus Pulmonary Syndrome,5,0.01
2013,Hantavirus Pulmonary Syndrome,13,0.04
2014,Hantavirus Pulmonary Syndrome,10,0.03
2015,Hantavirus Pulmonary Syndrome,9,0.03
2016,Hantavirus Pulmonary Syndrome,4,0.01
2017,Hantavirus Pulmonary Syndrome,7,0.02
2018,Hantavirus Pulmonary Syndrome,3,0.01
2019,Hantavirus Pulmonary Syndrome,8,0.02
2020,Hantavirus Pulmonary Syndrome,4,0.01
2021,Hantavirus Pulmonary Syndrome,0,0
1924,"Pneumococcal Disease, Invasive",,
1925,"Pneumococcal Disease, Invasive",,
1926,"Pneumococcal Disease, Invasive",,
1927,"Pneumococcal Disease, Invasive",,
1928,"Pneumococcal Disease, Invasive",,
1929,"Pneumococcal Disease, Invasive",,
1930,"Pneumococcal Disease, Invasive",,
1931,"Pneumococcal Disease, Invasive",,
1932,"Pneumococcal Disease, Invasive",,
1933,"Pneumococcal Disease, Invasive",,
1934,"Pneumococcal Disease, Invasive",,
1935,"Pneumococcal Disease, Invasive",,
1936,"Pneumococcal Disease, Invasive",,
1937,"Pneumococcal Disease, Invasive",,
1938,"Pneumococcal Disease, Invasive",,
1939,"Pneumococcal Disease, Invasive",,
1940,"Pneumococcal Disease, Invasive",,
1941,"Pneumococcal Disease, Invasive",,
1942,"Pneumococcal Disease, Invasive",,
1943,"Pneumococcal Disease, Invasive",,
1944,"Pneumococcal Disease, Invasive",,
1945,"Pneumococcal Disease, Invasive",,
1946,"Pneumococcal Disease, Invasive",,
1947,"Pneumococcal Disease, Invasive",,
1948,"Pneumococcal Disease, Invasive",,
1949,"Pneumococcal Disease, Invasive",,
1950,"Pneumococcal Disease, Invasive",,
1951,"Pneumococcal Disease, Invasive",,
1952,"Pneumococcal Disease, Invasive",,
1953,"Pneumococcal Disease, Invasive",,
1954,"Pneumococcal Disease, Invasive",,
1955,"Pneumococcal Disease, Invasive",,
1956,"Pneumococcal Disease, Invasive",,
1957,"Pneumococcal Disease, Invasive",,
1958,"Pneumococcal Disease, Invasive",,
1959,"Pneumococcal Disease, Invasive",,
1960,"Pneumococcal Disease, Invasive",,
1961,"Pneumococcal Disease, Invasive",,
1962,"Pneumococcal Disease, Invasive",,
1963,"Pneumococcal Disease, Invasive",,
1964,"Pneumococcal Disease, Invasive",,
1965,"Pneumococcal Disease, Invasive",,
1966,"Pneumococcal Disease, Invasive",,
1967,"Pneumococcal Disease, Invasive",,
1968,"Pneumococcal Disease, Invasive",,
1969,"Pneumococcal Disease, Invasive",,
1970,"Pneumococcal Disease, Invasive",,
1971,"Pneumococcal Disease, Invasive",,
1972,"Pneumococcal Disease, Invasive",,
1973,"Pneumococcal Disease, Invasive",,
1974,"Pneumococcal Disease, Invasive",,
1975,"Pneumococcal Disease, Invasive",,
1976,"Pneumococcal Disease, Invasive",,
1977,"Pneumococcal Disease, Invasive",,
1978,"Pneumococcal Disease, Invasive",,
1979,"Pneumococcal Disease, Invasive",,
1980,"Pneumococcal Disease, Invasive",,
1981,"Pneumococcal Disease, Invasive",,
1982,"Pneumococcal Disease, Invasive",,
1983,"Pneumococcal Disease, Invasive",,
1984,"Pneumococcal Disease, Invasive",,
1985,"Pneumococcal Disease, Invasive",,
1986,"Pneumococcal Disease, Invasive",,
1987,"Pneumococcal Disease, Invasive",,
1988,"Pneumococcal Disease, Invasive",,
1989,"Pneumococcal Disease, Invasive",,
1990,"Pneumococcal Disease, Invasive",,
1991,"Pneumococcal Disease, Invasive",,
1992,"Pneumococcal Disease, Invasive",,
1993,"Pneumococcal Disease, Invasive",,
1994,"Pneumococcal Disease, Invasive",,
1995,"Pneumococcal Disease, Invasive",,
1996,"Pneumococcal Disease, Invasive",,
1997,"Pneumococcal Disease, Invasive",,
1998,"Pneumococcal Disease, Invasive",,
1999,"Pneumococcal Disease, Invasive",,
2000,"Pneumococcal Disease, Invasive",1357,7.14
2001,"Pneumococcal Disease, Invasive",1733,5.59
2002,"Pneumococcal Disease, Invasive",2261,7.21
2003,"Pneumococcal Disease, Invasive",2725,8.61
2004,"Pneumococcal Disease, Invasive",2914,9.12
2005,"Pneumococcal Disease, Invasive",2857,8.86
2006,"Pneumococcal Disease, Invasive",2883,8.85
2007,"Pneumococcal Disease, Invasive",3247,9.87
2008,"Pneumococcal Disease, Invasive",3192,9.6
2009,"Pneumococcal Disease, Invasive",3291,9.79
2010,"Pneumococcal Disease, Invasive",3345,9.84
2011,"Pneumococcal Disease, Invasive",3307,9.63
2012,"Pneumococcal Disease, Invasive",3419,9.85
2013,"Pneumococcal Disease, Invasive",3185,9.08
2014,"Pneumococcal Disease, Invasive",3177,8.97
2015,"Pneumococcal Disease, Invasive",3211,8.99
2016,"Pneumococcal Disease, Invasive",3290,9.11
2017,"Pneumococcal Disease, Invasive",3478,9.52
2018,"Pneumococcal Disease, Invasive",4026,10.86
2019,"Pneumococcal Disease, Invasive",3771,10.03
2020,"Pneumococcal Disease, Invasive",2244,5.9
2021,"Pneumococcal Disease, Invasive",2147,5.62
1924,West Nile Virus Infection,,
1925,West Nile Virus Infection,,
1926,West Nile Virus Infection,,
1927,West Nile Virus Infection,,
1928,West Nile Virus Infection,,
1929,West Nile Virus Infection,,
1930,West Nile Virus Infection,,
1931,West Nile Virus Infection,,
1932,West Nile Virus Infection,,
1933,West Nile Virus Infection,,
1934,West Nile Virus Infection,,
1935,West Nile Virus Infection,,
1936,West Nile Virus Infection,,
1937,West Nile Virus Infection,,
1938,West Nile Virus Infection,,
1939,West Nile Virus Infection,,
1940,West Nile Virus Infection,,
1941,West Nile Virus Infection,,
1942,West Nile Virus Infection,,
1943,West Nile Virus Infection,,
1944,West Nile Virus Infection,,
1945,West Nile Virus Infection,,
1946,West Nile Virus Infection,,
1947,West Nile Virus Infection,,
1948,West Nile Virus Infection,,
1949,West Nile Virus Infection,,
1950,West Nile Virus Infection,,
1951,West Nile Virus Infection,,
1952,West Nile Virus Infection,,
1953,West Nile Virus Infection,,
1954,West Nile Virus Infection,,
1955,West Nile Virus Infection,,
1956,West Nile Virus Infection,,
1957,West Nile Virus Infection,,
1958,West Nile Virus Infection,,
1959,West Nile Virus Infection,,
1960,West Nile Virus Infection,,
1961,West Nile Virus Infection,,
1962,West Nile Virus Infection,,
1963,West Nile Virus Infection,,
1964,West Nile Virus Infection,,
1965,West Nile Virus Infection,,
1966,West Nile Virus Infection,,
1967,West Nile Virus Infection,,
1968,West Nile Virus Infection,,
1969,West Nile Virus Infection,,
1970,West Nile Virus Infection,,
1971,West Nile Virus Infection,,
1972,West Nile Virus Infection,,
1973,West Nile Virus Infection,,
1974,West Nile Virus Infection,,
1975,West Nile Virus Infection,,
1976,West Nile Virus Infection,,
1977,West Nile Virus Infection,,
1978,West Nile Virus Infection,,
1979,West Nile Virus Infection,,
1980,West Nile Virus Infection,,
