cause,cause_corrected,synonym,nesting_cause
lethargy,Lethargy,Lethargy,all
Lethargy,Lethargy,Lethargy,all
leukaemia.aleukaemia,Leukaemia Aleukaemia,Leukaemia Aleukaemia,all
liver.complaint,Liver Complaint,Liver Complaint,all
Liver complaint,Liver Complaint,Liver Complaint,all
liver.disease,Liver Disease,Liver Disease,all
liver.disease.&.c,Liver Disease & C,Liver Disease,all
liver.disease.other,Liver Disease Other,Liver Disease Other,all
"Liver, diseased","Liver, Diseased",Liver Disease,all
"Liver, diseases of","Liver, Diseases Of",Liver Disease,all
Livergrown,Livergrown,Livergrown,all
livergrowns,Livergrowns,Livergrown,all
lobar.pneumonia,Lobar Pneumonia,Lobar Pneumonia,Pneumonia
lock.jaw,Lock Jaw,Lockjaw,all
Lock-Jaw,Lock-Jaw,Lockjaw,all
Locked Jaw,Locked Jaw,Lockjaw,all
Lockjaw,Lockjaw,Lockjaw,all
looseness,Looseness,Looseness,all
Looseness,Looseness,Looseness,all
lumbago,Lumbago,Lumbago,all
Lumbago,Lumbago,Lumbago,all
Lunatic,Lunatic,Lunatic,all
Lunatick,Lunatick,Lunatic,all
lunatique,Lunatique,Lunatic,all
lung.disease,Lung Disease,Lung Disease,all
lung.disease.&.c,Lung Disease & C,Lung Disease,all
malformation,Malformation,Malformation,all
malignant.fever,Malignant Fever,Malignant Fever,all
Malignant Fever,Malignant Fever,Malignant Fever,all
malignant.neoplasm.of.lung,Malignant Neoplasm Of Lung,Malignant Neoplasm Of Lung,all
malignant.neoplasm.of.stomach,Malignant Neoplasm Of Stomach,Malignant Neoplasm Of Stomach,all
manslaughter,Manslaughter,Manslaughter,all
Manslaughter,Manslaughter,Manslaughter,all
meagrome,Meagrome,Megrim,all
Meagrome,Meagrome,Megrim,all
measles,Measles,Measles,Zymotic Diseases
Measles,Measles,Measles,Zymotic Diseases
megrim,Megrim,Megrim,all
Megrim,Megrim,Megrim,all
Megrome,Megrome,Megrim,all
melancholy,Melancholy,Melancholy,all
Melancholy,Melancholy,Melancholy,all
meningococcal.infections,Meningococcal Infections,Meningococcal Infections,all
meningococcal.meningitis,Meningococcal Meningitis,Meningococcal Meningitis,all
metria,Metria,Metria,Zymotic Diseases
metria.or.perpetual.fever,Metria Or Perpetual Fever,Metria Or Perpetual Fever,Zymotic Diseases
metria.or.puerperal.fever,Metria Or Puerperal Fever,Metria Or Puerperal Fever,Zymotic Diseases
metria-or.perpetual.fever,Metria-Or Perpetual Fever,Metria Or Perpetual Fever,Zymotic Diseases
miscarriage,Miscarriage,Miscarriage,all
Miscarriage,Miscarriage,Miscarriage,all
mortally.hurt,Mortally Hurt,Mortally Hurt,all
Mortifiation,Mortifiation,Mortification,all
mortification,Mortification,Mortification,all
Mortification,Mortification,Mortification,all
Mortification and Gangrene,Mortification And Gangrene,Mortification And Gangrene,all
mother,Mother,Mother,all
Mother,Mother,Mother,all
motor.vehicle.accidents,Motor Vehicle Accidents,Motor Vehicle Accidents,all
Mould-shot,Mould-Shot,Mould-Shot,all
mouldfallen,Mouldfallen,Mouldfallen,all
Mouldfallen,Mouldfallen,Mouldfallen,all
murder.and.manslaughter,Murder And Manslaughter,Murder And Manslaughter,all
murdered,Murdered,Murdered,all
Murdered [...],Murdered,Murdered,all
myocardial.degeneration,Myocardial Degeneration,Myocardial Degeneration,all
neglect,Neglect,Neglect,Violence Privation Cold And Intemperance
nephria,Nephria,Nephria,Diseases Of The Kidneys Etc
nephria.or.brights.disease,Nephria Or Brights Disease,Nephria Or Brights Disease,Diseases Of The Kidneys Etc
nephritis,Nephritis,Nephritis,Diseases Of The Kidneys Etc
nephritis.and.nephrosis,Nephritis And Nephrosis,Nephritis And Nephrosis,all
noli.me.tangere,Noli Me Tangere,Noli Me Tangere,all
Noli me tangere,Noli Me Tangere,Noli Me Tangere,all
noma,Noma,Noma,Zymotic Diseases
noma.or.canker,Noma Or Canker,Noma Or Canker,Zymotic Diseases
noma-or.canker,Noma-Or Canker,Noma Or Canker,Zymotic Diseases
non-meningococcal.meningitis,Non-Meningococcal Meningitis,Non-Meningococcal Meningitis,all
Numb palsy,Numb Palsy,Numb Palsy,all
numbpalsie,Numbpalsie,Numb Palsy,all
Numbpalsie,Numbpalsie,Numb Palsy,all
old.age,Old Age,Aged,all
Old Age and Debility,Old Age And Debility,Age And Debility,all
old.age.or.natural.decay,Old Age Or Natural Decay,Aged,all
organic.disease.of.hearts,Organic Disease Of Hearts,Organic Disease Of Hearts,all
Ossifiation of the Heart,Ossifiation Of The Heart,Ossification Of The Heart,all
ossification.of.the.heart,Ossification Of The Heart,Ossification Of The Heart,all
Ossification of the Heart,Ossification Of The Heart,Ossification Of The Heart,all
other.abortion,Other Abortion,Other Abortion,all
other.accidents.homocide.and.war.operations,Other Accidents Homocide And War Operations,Other Accidents Homocide And War Operations,all
other.causes.incident.to.childbirth,Other Causes Incident To Childbirth,Other Causes Incident To Childbirth,all
other.causes.of.incident.to.childbirth,Other Causes Of Incident To Childbirth,Other Causes Of Incident To Childbirth,all
other.chronic.endocarditis,Other Chronic Endocarditis,Other Chronic Endocarditis,all
other.complications.of.pregnancy.or.childbirth,Other Complications Of Pregnancy Or Childbirth,Other Complications Of Pregnancy Or Childbirth,all
other.deaths.by.violence,Other Deaths By Violence,Other Deaths By Violence,all
other.defined.causes,Other Defined Causes,Other Defined Causes,all
other.disease.of.circulatory.system,Other Disease Of Circulatory System,Other Diseases Of Circulatory System,all
other disease of circulatory system,Other Disease Of Circulatory System,Other Diseases Of Circulatory System,all
other.disease.of.nervous.system,Other Disease Of Nervous System,Other Diseases Of Nervous System,all
other disease of nervous system,Other Disease Of Nervous System,Other Diseases Of Nervous System,all
other.disease.of.respiratory.system,Other Disease Of Respiratory System,Other Diseases Of Respiratory System,all
other disease of the heart,Other Disease Of The Heart,Other Diseases Of The Heart,all
other.diseases.and.ill.defined.causes,Other Diseases And Ill Defined Causes,Other Diseases And Ill Defined Causes,all
other.diseases.of.circulatory.system,Other Diseases Of Circulatory System,Other Diseases Of Circulatory System,all
other.diseases.of.digestive.system,Other Diseases Of Digestive System,Other Diseases Of Digestive System,all
other.diseases.of.early.infancy,Other Diseases Of Early Infancy,Other Diseases Of Early Infancy,all
other.diseases.of.genito.urinary.system,Other Diseases Of Genito Urinary System,Other Diseases Of Genito Urinary System,all
other.diseases.of.genito-urinary.system,Other Diseases Of Genito-Urinary System,Other Diseases Of Genito-Urinary System,all
